,SR,TaSharks,MaxL,Depth,Chla_median,Chla_sd,SST_median,SST_sd,pop_50km,pop_500km,Dist_nearest_pop,Dist_nearest_market,HDI,Dcoast_km,DCoralT_km,DistSeamount_km,GDP,Dist_SMT1500,FishingEffort01,FishingEffort05
CH2077,1,3.24,46,500,0.168960005,0.05886165,28.699,0.545585562,0,0,605.0433232,1223.750843,0.697912839,3.911267127,4652.461905,45.67573171,3032.239478,45.67573171,0,0
CH2078,3,3.31,51.89,500,0.168960005,0.05886165,28.71,0.543991833,0,0,604.1545017,1222.852351,0.697912839,4.047123068,4652.565323,46.15347117,3032.239478,46.15347117,0,0
CH2079,2,3.33,64.5,500,0.168960005,0.05886165,28.71,0.543991833,0,0,604.0988691,1222.795192,0.697912839,4.046118835,4652.587767,46.17270009,3032.239478,46.17270009,0,0
CH2080,4,3.32,49.28,500,0.168960005,0.05886165,28.7125,0.542658802,0,0,604.0331035,1222.726938,0.697912839,4.035217927,4652.626162,46.18737665,3032.239478,46.18737665,0,0
CH2081,3,3.69,71.67,500,0.168960005,0.05886165,28.7125,0.542658802,0,0,603.9848955,1222.676846,0.697912839,4.027087378,4652.655313,46.19751278,3032.239478,46.19751278,0,0
CH2082,4,3.55,65.55,500,0.168960005,0.05886165,28.7125,0.542658802,0,0,603.9209213,1222.610506,0.697912839,4.019219424,4652.691662,46.21264734,3032.239478,46.21264734,0,0
CH2083,4,3.52,71.17,500,0.168960005,0.05886165,28.7125,0.542658802,0,0,603.8679647,1222.555832,0.697912839,4.013443184,4652.717568,46.22810253,3032.239478,46.22810253,0,0
CH2084,2,3.56,96.25,500,0.168960005,0.05886165,28.7125,0.542658802,0,0,603.8155985,1222.501537,0.697912839,4.004851495,4652.747142,46.24074577,3032.239478,46.24074577,0,0
CH2085,2,3.29,57.56,500,0.168960005,0.05886165,28.7125,0.542658802,0,0,603.7367663,1222.420293,0.697912839,3.946598801,4652.783142,46.26569505,3032.239478,46.26569505,0,0
CH2091,5,3.83,101.83,150,0.203255996,0.057033631,28.6915,0.531530823,0,0,616.0855855,1234.040714,0.697912839,0.982584879,4665.692052,29.85228972,3032.239478,29.85228972,0,0
CH2092,2,3.2,44.94,150,0.203255996,0.057033631,28.6915,0.531530823,0,0,616.1850265,1234.139083,0.697912839,1.072208111,4665.717519,29.77018332,3032.239478,29.77018332,0,0
CH2093,2,3.2,44.94,150,0.203255996,0.057033631,28.6915,0.531530823,0,0,616.2613286,1234.21415,0.697912839,1.1420521,4665.74345,29.70323304,3032.239478,29.70323304,0,0
CH2094,1,2,12,150,0.203255996,0.057033631,28.689,0.534302721,0,0,616.3500772,1234.301817,0.697912839,1.22249942,4665.768128,29.62880557,3032.239478,29.62880557,0,0
CH2095,1,3.58,120,150,0.203255996,0.057033631,28.689,0.534302721,0,0,616.4508017,1234.401003,0.697912839,1.314726149,4665.800938,29.54137666,3032.239478,29.54137666,0,0
CH2096,1,3.24,46,500,0.131012,0.022663406,28.73,0.571115159,0,0,631.1446054,1249.020699,0.697912839,10.38801386,4668.284851,19.367721,3032.239478,19.367721,0,0
CH2097,1,3.98,70,500,0.131012,0.022663406,28.73,0.571115159,0,0,631.2662313,1249.147166,0.697912839,10.51372664,4668.220561,19.3705432,3032.239478,19.3705432,0,0
CH2098,2,3.29,41.8,500,0.131012,0.022663406,28.73,0.571115159,0,0,631.3937989,1249.278207,0.697912839,10.63528667,4668.178091,19.35298341,3032.239478,19.35298341,0,0
